,Day,Google Trends
1215,2023-04-30,0
1216,2023-05-01,0
1217,2023-05-02,0
1218,2023-05-03,29
1219,2023-05-04,24
1220,2023-05-05,0
1221,2023-05-06,31
1222,2023-05-07,44
1223,2023-05-08,30
1224,2023-05-09,0
1225,2023-05-10,31
1226,2023-05-11,27
1227,2023-05-12,34
1228,2023-05-13,33
1229,2023-05-14,39
1230,2023-05-15,0
1231,2023-05-16,0
1232,2023-05-17,0
1233,2023-05-18,38
1234,2023-05-19,0
1235,2023-05-20,0
1236,2023-05-21,29
1237,2023-05-22,0
1238,2023-05-23,0
1239,2023-05-24,0
1240,2023-05-25,0
1241,2023-05-26,32
1242,2023-05-27,0
1243,2023-05-28,0
